graph_number,is_bipartite,num_edges,diameter,clique_num,is_distance_regular,is_eulerian,cut_vertice_list,num_cut_vertices,cycle_basis,degree_sequence,aut_group_generator,aut_grp_size,orbits,num_orbits,3_cycle_size_str,4_cycle_size_str,5_cycle_size_str,6_cycle_size_str,7_cycle_size_str
1000,FALSE,17,2,6,FALSE,FALSE,[],0,"[[2, 6, 0], [3, 6, 0], [4, 6, 0], [5, 6, 0], [5, 1, 6], [2, 5, 0], [3, 5, 0], [4, 5, 0], [2, 4, 0], [3, 4, 0], [2, 3, 0]]","[(0, 5), (1, 2), (2, 5), (3, 5), (4, 5), (5, 6), (6, 6)]","[[0, 1, 2, 3, 4, 6, 5], [0, 1, 2, 4, 3, 5, 6], [0, 1, 3, 2, 4, 5, 6], [2, 1, 0, 3, 4, 5, 6]]",48,"[0, 1, 0, 0, 0, 5, 5]",3,11,0,0,0,0
1001,FALSE,16,2,5,FALSE,FALSE,[],0,"[[2, 6, 0], [3, 6, 0], [4, 6, 0], [5, 6, 0], [4, 1, 6], [5, 1, 6], [2, 5, 0], [4, 5, 0], [2, 4, 0], [2, 3, 0]]","[(0, 5), (1, 3), (2, 5), (3, 3), (4, 5), (5, 5), (6, 6)]","[[2, 1, 0, 3, 4, 5, 6], [0, 1, 2, 3, 5, 4, 6], [4, 3, 5, 1, 0, 2, 6]]",8,"[0, 1, 0, 1, 0, 0, 6]",3,10,0,0,0,0
1002,FALSE,15,2,4,FALSE,FALSE,[],0,"[[2, 6, 0], [4, 6, 0], [5, 6, 0], [4, 1, 6], [5, 1, 6], [2, 5, 0], [3, 5, 0], [2, 4, 0], [2, 3, 0]]","[(0, 5), (1, 3), (2, 5), (3, 3), (4, 4), (5, 5), (6, 5)]","[[2, 1, 0, 3, 4, 5, 6]]",2,"[0, 1, 0, 3, 4, 5, 6]",6,9,0,0,0,0
1003,FALSE,15,2,5,FALSE,FALSE,[],0,"[[2, 6, 0], [3, 6, 0], [5, 6, 0], [4, 1, 6, 0], [5, 1, 6], [2, 5, 0], [3, 5, 0], [2, 4, 0], [2, 3, 0]]","[(0, 5), (1, 3), (2, 5), (3, 4), (4, 3), (5, 5), (6, 5)]","[[2, 1, 0, 3, 4, 5, 6], [0, 1, 2, 3, 4, 6, 5], [5, 4, 6, 3, 1, 0, 2]]",8,"[0, 1, 0, 3, 1, 0, 0]",3,8,1,0,0,0
1004,FALSE,15,2,4,FALSE,FALSE,[],0,"[[2, 6, 0], [3, 6, 0], [4, 6, 0], [4, 1, 6], [5, 1, 6, 0], [2, 5, 0], [3, 5, 0], [2, 4, 0], [2, 3, 0]]","[(0, 5), (1, 3), (2, 5), (3, 4), (4, 4), (5, 4), (6, 5)]","[[2, 1, 0, 3, 4, 5, 6]]",2,"[0, 1, 0, 3, 4, 5, 6]",6,8,1,0,0,0
1005,FALSE,16,2,5,FALSE,FALSE,[],0,"[[2, 6, 0], [3, 6, 0], [4, 6, 0], [5, 6, 0], [4, 1, 6], [5, 1, 6], [2, 5, 0], [3, 5, 0], [2, 4, 0], [2, 3, 0]]","[(0, 5), (1, 3), (2, 5), (3, 4), (4, 4), (5, 5), (6, 6)]","[[2, 1, 0, 3, 4, 5, 6]]",2,"[0, 1, 0, 3, 4, 5, 6]",6,10,0,0,0,0
1006,FALSE,17,2,5,FALSE,FALSE,[],0,"[[2, 6, 0], [3, 6, 0], [4, 6, 0], [5, 6, 0], [4, 1, 6], [5, 1, 6], [2, 5, 0], [3, 5, 0], [4, 5, 0], [2, 4, 0], [2, 3, 0]]","[(0, 5), (1, 3), (2, 5), (3, 4), (4, 5), (5, 6), (6, 6)]","[[0, 1, 2, 3, 4, 6, 5], [2, 1, 0, 3, 4, 5, 6]]",4,"[0, 1, 0, 3, 4, 5, 5]",5,11,0,0,0,0
1007,FALSE,18,2,6,FALSE,FALSE,[],0,"[[2, 6, 0], [3, 6, 0], [4, 6, 0], [5, 6, 0], [4, 1, 6], [5, 1, 6], [2, 5, 0], [3, 5, 0], [4, 5, 0], [2, 4, 0], [3, 4, 0], [2, 3, 0]]","[(0, 5), (1, 3), (2, 5), (3, 5), (4, 6), (5, 6), (6, 6)]","[[0, 1, 2, 3, 4, 6, 5], [0, 1, 2, 3, 5, 4, 6], [0, 1, 3, 2, 4, 5, 6], [2, 1, 0, 3, 4, 5, 6]]",36,"[0, 1, 0, 0, 4, 4, 4]",3,12,0,0,0,0
1008,FALSE,14,2,4,FALSE,FALSE,[],0,"[[3, 6, 0], [5, 6, 0], [1, 4, 6], [2, 4, 6, 0], [3, 1, 6], [5, 1, 6], [2, 5, 0], [3, 5, 0]]","[(0, 4), (1, 4), (2, 3), (3, 4), (4, 3), (5, 5), (6, 5)]","[[1, 0, 4, 3, 2, 6, 5]]",2,"[0, 0, 2, 3, 2, 5, 5]",4,7,1,0,0,0
1009,FALSE,14,2,4,FALSE,FALSE,[],0,"[[2, 6, 0], [5, 6, 0], [1, 4, 6], [2, 4, 6], [3, 1, 6, 0], [5, 1, 6], [2, 5, 0], [3, 5, 0]]","[(0, 4), (1, 4), (2, 4), (3, 3), (4, 3), (5, 5), (6, 5)]","[[2, 1, 0, 4, 3, 6, 5]]",2,"[0, 1, 0, 3, 3, 5, 5]",4,7,1,0,0,0
100,FALSE,9,2,3,FALSE,FALSE,[6],1,"[[4, 6, 0], [1, 5, 6], [2, 5, 6]]","[(0, 2), (1, 2), (2, 2), (3, 1), (4, 2), (5, 3), (6, 6)]","[[4, 1, 2, 3, 0, 5, 6], [0, 2, 1, 3, 4, 5, 6]]",4,"[0, 1, 1, 3, 0, 5, 6]",5,3,0,0,0,0
1010,FALSE,13,2,3,FALSE,TRUE,[],0,"[[2, 6, 0], [3, 6, 0], [3, 1, 6], [5, 1, 6, 0], [2, 4, 1, 6], [2, 5, 0], [3, 5, 0]]","[(0, 4), (1, 4), (2, 4), (3, 4), (4, 2), (5, 4), (6, 4)]","[[0, 1, 2, 3, 4, 6, 5], [3, 2, 1, 0, 4, 5, 6]]",4,"[0, 1, 1, 0, 4, 5, 5]",4,5,2,0,0,0
1011,FALSE,14,2,4,FALSE,FALSE,[],0,"[[2, 6, 0], [3, 6, 0], [5, 6, 0], [3, 1, 6], [5, 1, 6], [2, 4, 1, 6], [2, 5, 0], [3, 5, 0]]","[(0, 4), (1, 4), (2, 4), (3, 4), (4, 2), (5, 5), (6, 5)]","[[0, 1, 2, 3, 4, 6, 5], [3, 2, 1, 0, 4, 5, 6]]",4,"[0, 1, 1, 0, 4, 5, 5]",4,7,1,0,0,0
1012,FALSE,14,2,3,FALSE,FALSE,[],0,"[[2, 6, 0], [3, 6, 0], [1, 4, 6], [2, 4, 6], [3, 1, 6], [5, 1, 6, 0], [2, 5, 0], [3, 5, 0]]","[(0, 4), (1, 4), (2, 4), (3, 4), (4, 3), (5, 4), (6, 5)]","[[3, 2, 1, 0, 4, 5, 6]]",2,"[0, 1, 1, 0, 4, 5, 6]",5,7,1,0,0,0
1013,FALSE,15,2,4,FALSE,FALSE,[],0,"[[2, 6, 0], [3, 6, 0], [5, 6, 0], [1, 4, 6], [2, 4, 6], [3, 1, 6], [5, 1, 6], [2, 5, 0], [3, 5, 0]]","[(0, 4), (1, 4), (2, 4), (3, 4), (4, 3), (5, 5), (6, 6)]","[[3, 2, 1, 0, 4, 5, 6]]",2,"[0, 1, 1, 0, 4, 5, 6]",5,9,0,0,0,0
1014,FALSE,15,2,3,FALSE,FALSE,[],0,"[[2, 6, 0], [3, 6, 0], [1, 4, 6], [2, 4, 6], [5, 4, 6, 0], [3, 1, 6], [5, 1, 6, 0], [2, 5, 0], [3, 5, 0]]","[(0, 4), (1, 4), (2, 4), (3, 4), (4, 4), (5, 5), (6, 5)]","[[0, 1, 2, 3, 4, 6, 5], [0, 4, 3, 2, 1, 5, 6], [1, 2, 3, 4, 0, 5, 6]]",20,"[0, 0, 0, 0, 0, 5, 5]",2,7,2,0,0,0
1015,FALSE,16,2,4,FALSE,TRUE,[],0,"[[2, 6, 0], [3, 6, 0], [5, 6, 0], [1, 4, 6], [2, 4, 6], [5, 4, 6], [3, 1, 6], [5, 1, 6], [2, 5, 0], [3, 5, 0]]","[(0, 4), (1, 4), (2, 4), (3, 4), (4, 4), (5, 6), (6, 6)]","[[0, 1, 2, 3, 4, 6, 5], [0, 4, 3, 2, 1, 5, 6], [1, 2, 3, 4, 0, 5, 6]]",20,"[0, 0, 0, 0, 0, 5, 5]",2,10,0,0,0,0
1016,FALSE,13,2,3,FALSE,FALSE,[],0,"[[3, 6, 0], [4, 6, 0], [3, 1, 6], [4, 1, 6], [2, 5, 1, 6, 0], [3, 5, 1], [2, 4, 0]]","[(0, 4), (1, 4), (2, 3), (3, 4), (4, 4), (5, 3), (6, 4)]","[[4, 3, 2, 1, 0, 5, 6], [1, 0, 5, 4, 3, 2, 6]]",4,"[0, 0, 2, 0, 0, 2, 6]",3,6,0,1,0,0
1017,FALSE,13,2,4,FALSE,FALSE,[],0,"[[2, 6, 0], [4, 6, 0], [3, 1, 6, 0], [4, 1, 6], [2, 5, 1, 6], [3, 5, 1], [2, 4, 0]]","[(0, 4), (1, 4), (2, 4), (3, 3), (4, 4), (5, 3), (6, 4)]","[[0, 1, 2, 3, 6, 5, 4], [2, 1, 0, 5, 4, 3, 6]]",4,"[0, 1, 0, 3, 4, 3, 4]",4,5,2,0,0,0
1018,FALSE,13,2,3,FALSE,FALSE,[],0,"[[2, 6, 0], [3, 6, 0], [3, 1, 6], [4, 1, 6, 0], [2, 5, 1, 6], [3, 5, 1], [2, 4, 0]]","[(0, 4), (1, 4), (2, 4), (3, 4), (4, 3), (5, 3), (6, 4)]","[[3, 2, 1, 0, 5, 4, 6]]",2,"[0, 1, 1, 0, 4, 4, 6]",4,5,2,0,0,0
1019,FALSE,14,2,4,FALSE,FALSE,[],0,"[[2, 6, 0], [3, 6, 0], [4, 6, 0], [3, 1, 6], [4, 1, 6], [2, 5, 1, 6], [3, 5, 1], [2, 4, 0]]","[(0, 4), (1, 4), (2, 4), (3, 4), (4, 4), (5, 3), (6, 5)]","[[4, 3, 2, 1, 0, 5, 6]]",2,"[0, 1, 2, 1, 0, 5, 6]",5,7,1,0,0,0
1020,FALSE,15,2,4,FALSE,TRUE,[],0,"[[2, 6, 0], [3, 6, 0], [4, 6, 0], [1, 5, 6], [2, 5, 6], [3, 5, 6], [3, 1, 6], [4, 1, 6], [2, 4, 0]]","[(0, 4), (1, 4), (2, 4), (3, 4), (4, 4), (5, 4), (6, 6)]","[[0, 5, 4, 3, 2, 1, 6], [1, 2, 3, 4, 5, 0, 6]]",12,"[0, 0, 0, 0, 0, 0, 6]",2,9,0,0,0,0
1021,FALSE,15,2,4,FALSE,FALSE,[],0,"[[3, 6, 0], [4, 6, 0], [5, 6, 0], [3, 1, 6], [4, 1, 6], [5, 1, 6], [3, 5, 0], [4, 5, 0], [2, 4, 0]]","[(0, 5), (1, 4), (2, 2), (3, 4), (4, 5), (5, 5), (6, 5)]","[[0, 1, 2, 3, 4, 6, 5], [4, 3, 2, 1, 0, 5, 6]]",4,"[0, 1, 2, 1, 0, 5, 5]",4,9,0,0,0,0
